,driver,qual_pos,season_mid,season_high,season_low,season_avg,seasonpassdif,seasongreenpass,seasongreenpassed,seasonqualitypass,seasonfastlap,seasontop15,seasonlapled,seasonDR,DFS_avg,last_year_flag,season_long_mid,season_long_high,season_long_low,season_long_avg,seasonlongpassdif,seasonlonggreenpass,seasonlonggreenpassed,seasonlongqualitypass,seasonlongfastlap,seasonlongtop15,seasonlonglapled,seasonlongDR,DFS_avg_season,owner_23XI Racing,owner_Archie St. Hilaire,owner_B.J. McLeod,owner_BK Racing,owner_Barney Visser,owner_Beard Motorsports,owner_Bob Jenkins,owner_Bryan Smith,owner_Carl Long,owner_Gaunt Brothers Racing,owner_Germain Racing,owner_JTG-Daugherty Racing,owner_Jack Roush,owner_Jay Robinson,owner_Joe Gibbs,owner_Leavine Family Racing,owner_Matt Kaulig,owner_Premium Motorsports,owner_Richard Childress,owner_Richard Petty Motorsports,owner_Rick Hendrick,owner_Rick Ware Racing,owner_Ricky Benton,owner_Roger Penske,owner_Spire Motorsports,owner_StarCom Racing,owner_Stewart-Haas Racing,owner_Tommy Baldwin,owner_Trackhouse Racing,owner_Wood Brothers,car_make_Chevrolet,car_make_Ford,car_make_Toyota,group_len_0.5,group_len_1.0,group_len_1.5,group_len_2.0,group_len_2.7,group_len_3.0
5210,Cole Custer,12.0,25.5,12.0,31.0,23.5,-0.5,59.5,66.0,1.0,0.0,4.0,0.0,52.599999999999994,18.725,1.0,25.333333333333332,12.166666666666666,31.5,23.833333333333332,-2.8333333333333335,61.833333333333336,64.66666666666667,2.3333333333333335,1.5,5.166666666666667,0.0,52.63333333333333,20.008333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
5211,Denny Hamlin,13.0,2.0,1.0,20.0,3.0,3.0,44.5,25.5,30.0,61.0,399.5,150.0,129.25,95.2,1.0,2.8333333333333335,1.0,20.166666666666668,4.166666666666667,11.166666666666666,45.166666666666664,34.0,29.166666666666668,59.5,395.0,141.5,123.85000000000001,93.65000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5212,Daniel Suarez,14.0,20.0,10.0,32.0,22.5,4.5,54.0,56.0,5.5,6.0,49.0,0.0,59.900000000000006,27.475,1.0,17.833333333333332,10.166666666666666,29.833333333333332,20.166666666666668,0.5,59.333333333333336,58.833333333333336,9.333333333333334,11.166666666666666,83.66666666666667,9.666666666666666,66.76666666666667,30.108333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
5213,Chase Elliott,15.0,7.5,1.0,23.5,6.5,5.0,65.5,52.5,46.5,24.5,407.0,29.0,107.1,52.0,1.0,8.5,1.8333333333333333,22.5,7.333333333333333,6.166666666666667,60.333333333333336,54.166666666666664,44.333333333333336,30.166666666666668,385.0,79.33333333333333,105.69999999999999,62.57500000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5214,Tyler Reddick,16.0,12.5,4.5,27.0,15.0,5.5,77.5,80.0,29.0,2.0,209.5,0.0,79.1,29.8,1.0,13.5,4.166666666666667,26.833333333333332,15.166666666666666,5.0,78.0,73.0,32.666666666666664,3.1666666666666665,206.83333333333334,0.0,77.53333333333332,33.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5215,Chris Buescher,18.0,21.0,8.5,27.0,20.5,-12.0,59.0,69.5,15.0,1.0,86.0,0.0,61.5,23.95,1.0,19.5,8.166666666666666,27.0,20.0,-11.833333333333334,60.166666666666664,72.0,20.0,1.1666666666666667,125.83333333333333,0.0,63.400000000000006,23.191666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
5216,Brad Keselowski,19.0,8.0,1.5,20.0,9.5,8.0,55.5,52.0,43.5,6.5,386.5,0.0,88.1,43.825,1.0,8.333333333333334,3.1666666666666665,21.0,11.166666666666666,4.0,54.333333333333336,50.333333333333336,39.333333333333336,9.0,364.8333333333333,5.833333333333333,90.0,34.00833333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
5217,Austin Cindric,20.0,21.0,13.0,38.0,26.0,10.0,82.0,72.0,6.0,2.0,2.0,0.0,51.1,24.9,1.0,21.0,13.0,38.0,26.0,10.0,82.0,72.0,6.0,2.0,2.0,0.0,51.1,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
5218,Kyle Larson,21.0,10.5,1.0,26.0,8.5,16.5,63.0,52.5,33.5,27.0,384.0,4.0,99.2,50.2,1.0,13.833333333333334,1.8333333333333333,26.666666666666668,12.666666666666666,14.833333333333334,62.0,47.166666666666664,36.333333333333336,33.5,300.8333333333333,43.333333333333336,94.86666666666667,50.74166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5219,Michael McDowell,24.0,27.0,13.0,31.5,25.5,-8.5,60.0,63.5,2.0,1.0,8.0,0.0,51.7,9.95,1.0,26.666666666666668,12.833333333333334,30.833333333333332,24.833333333333332,-6.0,56.333333333333336,62.333333333333336,2.3333333333333335,1.1666666666666667,16.0,0.0,52.63333333333333,10.525,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
