,qual_pos,driver,qual_time,race_num,year
114,14,   Ross Chastain,29.987   ,3,2018
115,16,   Brandon Jones,30.022   ,3,2018
116,18,   Kaz Grala,30.107   ,3,2018
117,20,   Jeremy Clements,30.290   ,3,2018
118,22,   Dylan Lupton,30.319   ,3,2018
119,24,   Alex Labbe,30.440   ,3,2018
120,26,   Garrett Smithley,30.790   ,3,2018
121,28,   J.J. Yeley,31.121   ,3,2018
122,30,   Chad Finchum,31.233   ,3,2018
123,32,   Jeff Green,31.320   ,3,2018
124,34,   B.J. McLeod,31.523   ,3,2018
125,36,   Morgan Shepherd,31.934   ,3,2018
126,38,   Mike Harmon,32.080   ,3,2018
127,40,   Stephen Leicht,32.474   ,3,2018
128,1,   Justin Allgaier,26.896   ,4,2018
129,3,   Cole Custer,26.910   ,4,2018
130,5,   Kyle Busch,26.940   ,4,2018
131,7,   Ryan Truex,27.023   ,4,2018
132,9,   Matt Tifft,27.092   ,4,2018
133,11,   Ryan Reed,27.341   ,4,2018
134,13,   Austin Cindric,27.350   ,4,2018
135,15,   Michael Annett,27.373   ,4,2018
136,17,   Kaz Grala,27.475   ,4,2018
137,19,   Joey Gase,27.627   ,4,2018
138,21,   Jeremy Clements,27.773   ,4,2018
139,23,   Ryan Sieg,27.932   ,4,2018
140,25,   Jeff Green,27.963   ,4,2018
141,27,   Tommy Joe Martins,28.009   ,4,2018
142,29,   Morgan Shepherd,28.125   ,4,2018
143,31,   Garrett Smithley,28.472   ,4,2018
144,33,   Vinnie Miller,28.662   ,4,2018
145,35,   Matt Mills,28.830   ,4,2018
146,37,   Mike Harmon,28.904   ,4,2018
147,39,   Josh Bilicki,28.987   ,4,2018
148,2,   Brad Keselowski,26.909   ,4,2018
149,4,   Christopher Bell,26.933   ,4,2018
150,6,   Jamie McMurray,27.016   ,4,2018
151,8,   Daniel Hemric,27.056   ,4,2018
152,10,   Brandon Jones,27.142   ,4,2018
153,12,   Spencer Gallagher,27.378   ,4,2018
154,14,   Ty Dillon,27.356   ,4,2018
155,16,   J.J. Yeley,27.462   ,4,2018
156,18,   Ross Chastain,27.503   ,4,2018
157,20,   Dylan Lupton,27.757   ,4,2018
158,22,   Alex Labbe,27.867   ,4,2018
159,24,   Elliott Sadler,   ,4,2018
160,26,   B.J. McLeod,27.967   ,4,2018
161,28,   Josh Williams,28.100   ,4,2018
162,30,   David Starr,28.428   ,4,2018
163,32,   Stephen Leicht,28.538   ,4,2018
164,34,   Spencer Boyd,28.669   ,4,2018
165,36,   Chad Finchum,28.874   ,4,2018
166,38,   Timmy Hill,28.966   ,4,2018
167,40,   Tyler Reddick,   ,4,2018
168,1,   Christopher Bell,39.766   ,5,2018
169,3,   John Hunter Nemechek,40.001   ,5,2018
170,5,   Daniel Hemric,40.027   ,5,2018
171,7,   Ryan Reed,40.083   ,5,2018
172,9,   Brandon Jones,40.163   ,5,2018
173,11,   Elliott Sadler,40.627   ,5,2018
174,13,   Ross Chastain,40.244   ,5,2018
175,15,   Spencer Gallagher,40.409   ,5,2018
176,17,   Ryan Sieg,40.496   ,5,2018
177,19,   Austin Dillon,40.625   ,5,2018
178,21,   Alex Labbe,40.899   ,5,2018
179,23,   Joey Gase,41.081   ,5,2018
180,25,   Garrett Smithley,41.162   ,5,2018
181,27,   Josh Williams,41.656   ,5,2018
182,29,   Spencer Boyd,41.751   ,5,2018
183,31,   Tommy Joe Martins,41.882   ,5,2018
184,33,   Morgan Shepherd,42.808   ,5,2018
185,35,   Timmy Hill,43.069   ,5,2018
186,37,   Stephen Leicht,43.328   ,5,2018
187,39,   Mike Harmon,43.972   ,5,2018
188,2,   Joey Logano,39.796   ,5,2018
189,4,   Cole Custer,40.015   ,5,2018
190,6,   Justin Allgaier,40.079   ,5,2018
191,8,   Ryan Preece,40.088   ,5,2018
192,10,   Ryan Truex,40.615   ,5,2018
193,12,   Kaz Grala,40.734   ,5,2018
194,14,   Austin Cindric,40.291   ,5,2018
195,16,   Tyler Reddick,40.480   ,5,2018
196,18,   Michael Annett,40.574   ,5,2018
197,20,   Matt Tifft,40.631   ,5,2018
198,22,   Jeremy Clements,40.929   ,5,2018
199,24,   J.J. Yeley,41.100   ,5,2018
200,26,   B.J. McLeod,41.188   ,5,2018
201,28,   Chad Finchum,41.745   ,5,2018
202,30,   Matt Mills,41.812   ,5,2018
203,32,   Jeff Green,42.476   ,5,2018
204,34,   Vinnie Miller,42.868   ,5,2018
205,36,   David Starr,43.232   ,5,2018
206,38,   Josh Bilicki,43.868   ,5,2018
207,40,   Dylan Lupton,   ,5,2018
208,1,   Ryan Blaney,28.439   ,6,2018
209,3,   Brandon Jones,28.608   ,6,2018
210,5,   Jamie McMurray,28.679   ,6,2018
211,7,   Ty Dillon,28.723   ,6,2018
212,9,   J.J. Yeley,28.762   ,6,2018
213,11,   Ryan Sieg,28.868   ,6,2018
214,13,   Ryan Preece,28.958   ,6,2018
215,15,   Ross Chastain,28.998   ,6,2018
216,17,   B.J. McLeod,29.195   ,6,2018
217,19,   Garrett Smithley,29.299   ,6,2018
218,21,   Chase Briscoe,29.338   ,6,2018
219,23,   Timmy Hill,29.507   ,6,2018
220,25,   Stephen Leicht,29.607   ,6,2018
221,27,   Joey Gase,29.662   ,6,2018
222,29,   Jeff Green,29.753   ,6,2018
223,31,   Morgan Shepherd,30.174   ,6,2018
224,33,   Vinnie Miller,30.416   ,6,2018
225,35,   Daniel Hemric,   ,6,2018
226,37,   Kaz Grala,   ,6,2018
227,39,   Bayley Currey,   ,6,2018
228,41,   Mike Harmon,31.003   ,6,2018
229,2,   Ryan Truex,28.524   ,6,2018
230,4,   Ryan Reed,28.641   ,6,2018
231,6,   Tyler Reddick,28.716   ,6,2018
232,8,   Justin Allgaier,28.742   ,6,2018
233,10,   Cole Custer,28.842   ,6,2018
234,12,   Jeremy Clements,28.901   ,6,2018
235,14,   Spencer Gallagher,28.994   ,6,2018
236,16,   Austin Cindric,29.004   ,6,2018
237,18,   Christopher Bell,29.297   ,6,2018
238,20,   Michael Annett,29.328   ,6,2018
239,22,   Alex Labbe,29.367   ,6,2018
240,24,   Dylan Lupton,29.559   ,6,2018
241,26,   Chad Finchum,29.631   ,6,2018
242,28,   Spencer Boyd,29.723   ,6,2018
243,30,   Josh Bilicki,29.924   ,6,2018
244,32,   David Starr,30.199   ,6,2018
245,34,   Elliott Sadler,   ,6,2018
246,36,   Matt Tifft,   ,6,2018
247,38,   Josh Williams,   ,6,2018
248,40,   Kevin Harvick,   ,6,2018
249,42,   Matt Mills,   ,6,2018
250,1,   Cole Custer,15.090   ,7,2018
251,3,   Christopher Bell,15.144   ,7,2018
252,5,   John Hunter Nemechek,15.179   ,7,2018
253,7,   Ryan Preece,15.250   ,7,2018
254,9,   Spencer Gallagher,15.301   ,7,2018
255,11,   Matt Tifft,15.304   ,7,2018
256,13,   Elliott Sadler,15.386   ,7,2018
257,15,   Ross Chastain,15.401   ,7,2018
258,17,   Kaz Grala,15.432   ,7,2018
259,19,   Jeremy Clements,15.491   ,7,2018
260,21,   Ryan Truex,15.537   ,7,2018
261,23,   J.J. Yeley,   ,7,2018
262,25,   Tyler Reddick,15.621   ,7,2018
263,27,   Tommy Joe Martins,15.748   ,7,2018
264,29,   Chad Finchum,15.917   ,7,2018
265,31,   Timmy Hill,15.977   ,7,2018
266,33,   Dylan Lupton,16.031   ,7,2018
267,35,   Garrett Smithley,16.068   ,7,2018
268,37,   Spencer Boyd,16.296   ,7,2018
269,39,   Cody Ware,16.381   ,7,2018
270,41,   Morgan Shepherd,16.547   ,7,2018
271,2,   Justin Allgaier,15.119   ,7,2018
272,4,   Daniel Hemric,15.160   ,7,2018
273,6,   Brandon Jones,15.199   ,7,2018
274,8,   Shane Lee,15.282   ,7,2018
275,10,   Austin Cindric,15.304   ,7,2018
276,12,   Ryan Reed,15.422   ,7,2018
277,14,   Ty Majeski,15.393   ,7,2018
278,16,   Alex Labbe,15.417   ,7,2018
279,18,   Michael Annett,15.488   ,7,2018
280,20,   Ryan Sieg,15.527   ,7,2018
281,22,   Chase Briscoe,15.695   ,7,2018
282,24,   Jeff Green,   ,7,2018
283,26,   B.J. McLeod,15.738   ,7,2018
284,28,   Joey Gase,15.792   ,7,2018
285,30,   Joe Nemechek,15.920   ,7,2018
286,32,   Josh Williams,16.031   ,7,2018
287,34,   Vinnie Miller,16.059   ,7,2018
288,36,   Josh Bilicki,16.168   ,7,2018
289,38,   Stephen Leicht,16.331   ,7,2018
290,40,   David Starr,16.521   ,7,2018
291,1,   Cole Custer,22.253   ,8,2018
292,3,   Austin Cindric,22.453   ,8,2018
293,5,   John Hunter Nemechek,22.464   ,8,2018
294,7,   Justin Allgaier,22.558   ,8,2018
295,9,   Michael Annett,22.570   ,8,2018
296,11,   Noah Gragson,22.613   ,8,2018
297,13,   Ryan Reed,22.656   ,8,2018
298,15,   Chase Briscoe,22.693   ,8,2018
299,17,   Spencer Gallagher,22.788   ,8,2018
300,19,   Alex Labbe,22.855   ,8,2018
301,21,   Brandon Brown,22.958   ,8,2018
302,23,   Joey Gase,22.992   ,8,2018
303,25,   David Starr,23.038   ,8,2018
304,27,   J.J. Yeley,23.056   ,8,2018
305,29,   Stephen Leicht,23.144   ,8,2018
306,31,   Morgan Shepherd,23.251   ,8,2018
307,33,   Chad Finchum,23.353   ,8,2018
308,35,   Tony Mrakovich,23.404   ,8,2018
309,37,   Josh Bilicki,23.550   ,8,2018
310,39,   Timmy Hill,23.617   ,8,2018
311,2,   Christopher Bell,22.336   ,8,2018
312,4,   Daniel Hemric,22.460   ,8,2018
313,6,   Ryan Truex,22.550   ,8,2018
314,8,   Elliott Sadler,22.570   ,8,2018
315,10,   Tyler Reddick,22.586   ,8,2018
316,12,   Matt Tifft,22.685   ,8,2018
317,14,   Jeb Burton,22.685   ,8,2018
318,16,   Ross Chastain,22.734   ,8,2018
319,18,   Brandon Jones,22.796   ,8,2018
320,20,   Joe Nemechek,22.884   ,8,2018
321,22,   Kaz Grala,22.959   ,8,2018
322,24,   Ryan Sieg,23.016   ,8,2018
323,26,   Jeremy Clements,23.056   ,8,2018
324,28,   Garrett Smithley,23.136   ,8,2018
325,30,   Tommy Joe Martins,23.208   ,8,2018
326,32,   Jeff Green,23.300   ,8,2018
327,34,   Spencer Boyd,23.373   ,8,2018
328,36,   B.J. McLeod,23.417   ,8,2018
329,38,   Vinnie Miller,23.559   ,8,2018
330,40,   Mike Harmon,24.111   ,8,2018
331,1,   Daniel Hemric,50.559   ,9,2018
332,3,   Spencer Gallagher,50.762   ,9,2018
333,5,   Michael Annett,50.814   ,9,2018
334,7,   Shane Lee,50.914   ,9,2018
335,9,   Ryan Truex,51.030   ,9,2018
336,11,   Austin Cindric,51.123   ,9,2018
337,13,   Christopher Bell,51.283   ,9,2018
338,15,   Brandon Jones,51.322   ,9,2018
339,17,   Dylan Lupton,51.411   ,9,2018
340,19,   Ryan Reed,51.549   ,9,2018
341,21,   Alex Labbe,51.699   ,9,2018
342,23,   Joe Nemechek,51.752   ,9,2018
343,25,   Vinnie Miller,51.946   ,9,2018
344,27,   J.J. Yeley,52.002   ,9,2018
345,29,   B.J. McLeod,52.090   ,9,2018
346,31,   Josh Williams,52.216   ,9,2018
347,33,   Kaz Grala,52.300   ,9,2018
348,35,   Jeff Green,52.359   ,9,2018
349,37,   David Starr,52.632   ,9,2018
350,39,   Jennifer Jo Cobb,53.312   ,9,2018
351,41,   Morgan Shepherd,52.504   ,9,2018
352,2,   Elliott Sadler,50.727   ,9,2018
353,4,   John Hunter Nemechek,50.810   ,9,2018
354,6,   Justin Allgaier,50.885   ,9,2018
355,8,   Tyler Reddick,50.929   ,9,2018
356,10,   Matt Tifft,51.106   ,9,2018
357,12,   Cole Custer,51.322   ,9,2018
358,14,   Ty Majeski,51.309   ,9,2018
359,16,   Chase Briscoe,51.341   ,9,2018
360,18,   Joey Gase,51.452   ,9,2018
361,20,   Noah Gragson,51.653   ,9,2018
362,22,   Ryan Sieg,51.733   ,9,2018
363,24,   Jeremy Clements,51.844   ,9,2018
364,26,   Ross Chastain,51.989   ,9,2018
365,28,   Tommy Joe Martins,52.036   ,9,2018
366,30,   Spencer Boyd,52.195   ,9,2018
367,32,   Josh Bilicki,52.276   ,9,2018
368,34,   Garrett Smithley,52.353   ,9,2018
369,36,   Chad Finchum,52.619   ,9,2018
370,38,   Timmy Hill,53.250   ,9,2018
371,40,   Mike Harmon,53.491   ,9,2018
372,1,   Brandon Jones,23.102   ,10,2018
373,3,   Matt Tifft,23.179   ,10,2018
374,5,   Daniel Hemric,23.218   ,10,2018
375,7,   Austin Cindric,23.243   ,10,2018
376,9,   Ty Majeski,23.341   ,10,2018
377,11,   Johnny Sauter,23.430   ,10,2018
378,13,   Ryan Sieg,23.463   ,10,2018
379,15,   Alex Labbe,23.586   ,10,2018
380,17,   Brandon Brown,23.640   ,10,2018
381,19,   Jeremy Clements,23.754   ,10,2018
382,21,   Joey Gase,24.038   ,10,2018
383,23,   Garrett Smithley,   ,10,2018
384,25,   Vinnie Miller,24.245   ,10,2018
385,27,   Spencer Boyd,24.266   ,10,2018
386,29,"   Ray Black, Jr.",24.432   ,10,2018
387,31,   Josh Bilicki,24.858   ,10,2018
388,33,   Tyler Reddick,   ,10,2018
389,35,   John Hunter Nemechek,   ,10,2018
390,37,   Michael Annett,   ,10,2018
391,39,   Joe Nemechek,   ,10,2018
392,41,   Mike Harmon,   ,10,2018
393,2,   Noah Gragson,23.132   ,10,2018
394,4,   Elliott Sadler,23.189   ,10,2018
395,6,   Justin Allgaier,23.224   ,10,2018
396,8,   Ryan Truex,23.297   ,10,2018
397,10,   Jeb Burton,23.400   ,10,2018
398,12,   Ryan Reed,23.458   ,10,2018
399,14,   Dylan Lupton,23.576   ,10,2018
400,16,   Kaz Grala,23.610   ,10,2018
401,18,   Ross Chastain,23.736   ,10,2018
402,20,   J.J. Yeley,23.868   ,10,2018
403,22,   Timmy Hill,24.129   ,10,2018
404,24,   Jeff Green,   ,10,2018
405,26,   B.J. McLeod,24.247   ,10,2018
406,28,   Morgan Shepherd,24.289   ,10,2018
407,30,   Chad Finchum,24.588   ,10,2018
408,32,   Carl Long,25.428   ,10,2018
409,34,   Christopher Bell,   ,10,2018
410,36,   Cole Custer,   ,10,2018
411,38,   David Starr,   ,10,2018
412,40,   Stephen Leicht,   ,10,2018
413,1,   Brad Keselowski,29.287   ,11,2018
414,3,   Kyle Busch,29.431   ,11,2018
415,5,   Brandon Jones,29.457   ,11,2018
