,driver,qual_pos,season_mid,season_high,season_low,group_len,season_avg,seasonpassdif,seasongreenpass,seasongreenpassed,seasonqualitypass,seasonfastlap,seasontop15,seasonlapled,seasonDR,DFS_avg,season_long_mid,season_long_high,season_long_low,season_long_avg,seasonlongpassdif,seasonlonggreenpass,seasonlonggreenpassed,seasonlongqualitypass,seasonlongfastlap,seasonlongtop15,seasonlonglapled,seasonlongDR,DFS_avg_season,num_starts,owner_Archie St. Hilaire,owner_B.J. McLeod,owner_Bobby Dotter,owner_Carl Long,owner_Chip Ganassi,owner_Chris Our,owner_Dan Pardus,owner_Fred Biagi,owner_Fury Race Cars,owner_JP Motorsports,owner_JR Motorsports,owner_Jack Roush,owner_James Whitener,owner_Jeff Spraker,owner_Jeremy Clements,owner_Jerry Brown,owner_Jimmy Means,owner_Joe Gibbs,owner_Johnny Davis,owner_Jordan Anderson,owner_Josh Reaume,owner_Mario Gosselin,owner_Matt Hurley,owner_Matt Kaulig,owner_Maury Gallagher,owner_Mike Harmon,owner_Morgan Shepherd,owner_Richard Childress,owner_Rick Ware,owner_Rod Sieg,owner_Roger Penske,owner_Sam Hunt,owner_Scott Borchetta,owner_Shigeaki Hattori,owner_Stewart Haas Racing,owner_Tommy Joe Martins,owner_Tullman Walker Racing,owner_XCI Racing,car_make_Chevrolet,car_make_Dodge,car_make_Ford,car_make_Toyota
5447,Daniel Hemric,16.0,6.0,1.0,22.0,0.5,6.5,11.0,48.5,27.5,39.5,25.0,247.0,23.0,114.5,60.5,1.0,27.0,9.5,1.5,70.0,65.0,50.5,72.7,125.0,86.85,0.0,3.5,20.5,126.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5448,Jade Buford,17.0,27.5,14.5,35.5,0.5,26.5,-18.5,36.0,48.0,1.0,0.0,6.0,0.0,45.75,26.5,3.5,32.0,21.5,-3.0,59.5,62.5,26.5,44.9,49.5,58.75,0.0,3.5,29.5,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5449,Stefan Parsons,18.0,18.0,10.5,34.5,0.5,24.5,0.0,38.0,38.0,4.5,0.0,24.5,0.0,58.5,33.0,15.0,37.0,26.0,-6.0,74.0,80.0,2.0,2.7,1.0,0.6,0.0,4.0,24.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5451,Alex Labbe,20.0,16.5,8.0,32.0,0.5,17.5,-1.0,51.0,50.5,13.5,0.0,89.0,0.0,73.5,18.95,2.0,35.0,22.0,-23.0,49.0,66.0,12.0,18.1,18.0,9.0,0.0,4.0,22.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5452,Myatt Snider,21.0,10.5,5.5,28.5,0.5,14.5,13.0,60.0,47.0,26.5,3.0,154.5,0.0,82.1,26.625,8.0,33.5,21.5,-4.5,61.0,73.5,11.0,17.6,9.5,16.75,0.0,3.5,18.0,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5454,Josh Williams,23.0,18.0,7.5,32.5,0.5,18.0,0.0,46.5,41.5,14.5,0.0,103.0,0.0,71.8,23.5,17.0,36.5,27.5,-14.0,51.0,65.0,1.0,2.1,2.0,1.15,0.0,3.0,23.0,130.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5455,Riley Herbst,24.0,9.0,2.5,27.5,0.5,12.0,-5.0,43.0,43.0,30.5,3.5,208.0,0.0,89.65,45.025,3.0,31.0,16.0,1.5,75.5,68.0,34.5,65.35,73.0,82.9,0.0,3.5,14.5,82.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5456,Mason Massey,25.0,29.0,9.0,35.0,0.5,26.0,6.0,64.0,58.0,1.0,0.0,6.0,0.0,55.7,43.0,8.0,35.0,27.5,3.0,52.5,51.5,3.0,4.6,2.5,1.25,0.0,3.5,17.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5457,Brandon Brown,26.0,15.5,5.0,34.0,0.5,19.5,0.0,50.0,51.5,24.0,0.0,101.0,0.0,66.75,16.5,5.5,35.0,16.0,6.5,89.0,78.5,41.5,46.5,98.5,61.0,0.0,3.5,11.5,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5458,"Joe Graf, Jr.",27.0,31.5,11.5,38.0,0.5,28.0,-10.5,31.0,38.0,2.5,0.0,9.0,0.0,46.25,23.5,8.0,35.5,27.0,-5.0,58.5,69.0,3.5,5.0,5.5,3.2,0.0,3.5,24.5,71.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5459,Ryan Vargas,28.0,37.5,19.5,37.0,0.5,36.0,-12.0,13.0,31.0,0.0,0.0,0.0,0.0,30.35,-4.0,15.5,36.0,29.0,-4.5,43.5,56.0,0.0,0.0,0.5,0.3,0.0,3.5,21.5,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5460,Kyle Weatherman,29.0,27.5,12.0,35.5,0.5,26.0,-17.5,30.0,48.0,2.5,0.0,9.0,0.0,55.5,13.0,6.0,33.0,22.0,-6.0,73.0,76.0,5.0,6.8,15.0,12.5,0.0,3.0,22.0,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5463,Bayley Currey,32.0,24.5,16.0,37.0,0.5,29.5,-7.0,30.0,41.5,0.0,0.0,0.5,0.0,40.6,10.5,9.0,33.0,21.0,-13.0,59.0,85.0,6.0,13.4,10.0,5.0,0.0,3.0,23.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5464,David Starr,33.0,27.5,9.0,37.5,0.5,27.0,-12.5,31.5,44.0,0.0,0.0,4.0,0.0,45.8,26.5,19.0,36.0,29.0,-8.0,39.0,47.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,235.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5466,J.J. Yeley,35.0,28.0,6.0,35.0,0.5,22.0,8.0,71.0,63.0,8.0,0.0,48.0,0.0,55.8,27.0,12.5,34.5,26.5,-2.0,67.5,73.0,4.0,4.4,5.5,3.5,0.0,3.5,16.0,357.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5467,Landon Cassill,36.0,25.0,10.0,35.5,0.5,29.0,-12.0,25.5,40.0,0.0,0.0,6.0,0.0,36.8,-4.0,3.0,30.0,11.0,-4.5,80.5,66.5,58.0,75.55000000000001,116.0,85.5,0.0,3.5,14.5,182.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5469,Jeb Burton,38.0,7.5,2.5,35.5,0.5,13.0,12.0,39.0,35.5,25.0,0.5,192.0,0.0,85.5,16.6,5.0,31.0,17.0,5.0,93.5,76.5,40.0,48.7,45.5,43.45,0.0,3.5,14.0,82.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5473,Matt Mills,42.0,34.5,16.0,35.0,0.5,32.0,-1.5,20.0,27.0,1.0,0.0,3.0,0.0,40.15,15.0,13.5,36.5,29.5,-4.5,55.0,59.5,2.0,4.45,3.5,2.9,0.0,2.5,27.5,105.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
