,finish_pos,qual_pos,season_mid,season_high,season_low,season_avg,seasonpassdif,seasongreenpass,seasongreenpassed,seasonqualitypass,seasonfastlap,seasontop15,seasonlapled,seasonDR,DFS_avg,last_year_flag,season_long_mid,season_long_high,season_long_low,season_long_avg,seasonlongpassdif,seasonlonggreenpass,seasonlonggreenpassed,seasonlongqualitypass,seasonlongfastlap,seasonlongtop15,seasonlonglapled,seasonlongDR,DFS_avg_season,DFS,DfsRank,top3,top5,top10,car_make_Chevrolet,car_make_Ford,car_make_Toyota,owner_23XI Racing,owner_JTG-Daugherty Racing,owner_Jack Roush,owner_Joe Gibbs,owner_Matt Kaulig,owner_Richard Childress,owner_Richard Petty Motorsports,owner_Rick Hendrick,owner_Roger Penske,owner_Stewart-Haas Racing,owner_Trackhouse Racing,owner_Wood Brothers,group_len_0.5,group_len_1.0,group_len_1.5,group_len_2.0,group_len_2.7,group_len_3.0
2541,29.0,14.0,8.0,1.0,25.0,6.0,5.0,71.5,69.0,56.0,17.5,263.0,2.0,110.25,52.925,1.0,11.928571428571429,1.8571428571428572,23.571428571428573,8.857142857142858,5.714285714285714,74.64285714285714,68.92857142857143,48.785714285714285,21.142857142857142,230.5,21.214285714285715,105.62857142857142,48.675,-1.55,32.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2542,13.0,15.0,24.5,6.5,30.5,23.0,6.5,101.5,95.0,18.0,1.5,43.0,0.0,63.599999999999994,30.674999999999997,1.0,23.0,6.928571428571429,30.5,22.714285714285715,6.571428571428571,92.0,85.42857142857143,22.5,2.0,69.21428571428571,2.2142857142857144,63.864285714285714,23.525,32.9,16.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2543,30.0,16.0,15.5,3.0,28.0,14.0,5.0,99.0,90.5,40.5,2.0,183.5,0.0,81.80000000000001,34.95,1.0,13.5,2.9285714285714284,28.071428571428573,13.642857142857142,3.0714285714285716,91.07142857142857,88.0,37.5,7.785714285714286,175.14285714285714,11.714285714285714,86.66428571428571,34.003571428571426,-2.0,33.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2544,4.0,17.0,13.0,2.0,27.0,10.0,3.0,115.0,112.0,75.0,5.0,249.0,0.0,95.9,34.25,1.0,13.0,2.0,27.0,10.0,3.0,115.0,112.0,75.0,5.0,249.0,0.0,95.9,34.25,62.35,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2545,27.0,18.0,14.0,4.0,30.5,15.0,8.0,97.0,84.5,47.0,9.0,154.5,0.0,83.35,33.45,1.0,14.214285714285714,3.357142857142857,29.785714285714285,14.071428571428571,9.0,93.42857142857143,84.42857142857143,46.57142857142857,9.0,183.57142857142858,2.5714285714285716,84.64285714285714,34.478571428571435,8.25,26.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2546,22.0,19.0,25.5,7.5,29.5,21.5,-15.0,64.0,93.0,8.5,0.0,15.0,0.0,61.1,13.225,1.0,25.5,8.214285714285714,31.642857142857142,23.714285714285715,-15.714285714285714,70.14285714285714,85.85714285714286,13.857142857142858,0.42857142857142855,35.214285714285715,0.21428571428571427,57.50000000000001,13.103571428571428,18.4,21.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2547,15.0,21.0,30.5,15.0,37.0,28.5,-5.0,37.0,37.5,0.0,0.0,0.0,0.0,44.45,17.95,1.0,29.928571428571427,14.357142857142858,35.357142857142854,28.714285714285715,-4.928571428571429,39.285714285714285,44.214285714285715,1.8571428571428572,0.35714285714285715,2.357142857142857,0.07142857142857142,43.95,21.321428571428573,34.25,15.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2548,12.0,22.0,11.5,3.5,29.0,13.5,0.0,81.5,94.5,43.5,2.0,187.0,0.0,84.05,36.725,1.0,13.785714285714286,4.5,28.142857142857142,14.071428571428571,-0.7142857142857143,85.07142857142857,85.78571428571429,41.785714285714285,2.357142857142857,180.92857142857142,1.6428571428571428,82.48571428571428,34.042857142857144,42.8,9.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2549,7.0,23.0,18.0,7.0,32.0,20.0,-2.0,87.0,90.0,17.0,1.0,38.0,0.0,67.0,32.0,1.0,16.076923076923077,5.846153846153846,31.923076923076923,19.923076923076923,-0.46153846153846156,85.15384615384616,85.61538461538461,18.53846153846154,2.0,65.3076923076923,0.46153846153846156,64.99230769230769,26.476923076923075,54.35,5.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2550,10.0,24.0,13.5,1.0,27.5,9.0,4.0,83.0,79.5,50.0,8.5,233.5,3.0,99.8,48.825,1.0,12.928571428571429,1.5714285714285714,27.428571428571427,11.285714285714286,0.14285714285714285,83.14285714285714,83.0,47.857142857142854,13.071428571428571,225.92857142857142,12.928571428571429,95.98571428571428,41.68571428571429,48.0,7.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
