,qual_pos,season_mid,season_high,season_low,season_avg,seasonpassdif,seasongreenpass,seasongreenpassed,seasonqualitypass,seasonfastlap,seasontop15,seasonlapled,seasonDR,DFS_avg,last_year_flag,season_long_mid,season_long_high,season_long_low,season_long_avg,seasonlongpassdif,seasonlonggreenpass,seasonlonggreenpassed,seasonlongqualitypass,seasonlongfastlap,seasonlongtop15,seasonlonglapled,seasonlongDR,DFS_avg_season,DFS,DfsRank,owner_23XI Racing,owner_Archie St. Hilaire,owner_B.J. McLeod,owner_BK Racing,owner_Barney Visser,owner_Beard Motorsports,owner_Bob Jenkins,owner_Bryan Smith,owner_Carl Long,owner_Gaunt Brothers Racing,owner_Germain Racing,owner_JTG-Daugherty Racing,owner_Jack Roush,owner_Jay Robinson,owner_Joe Gibbs,owner_Leavine Family Racing,owner_Matt Kaulig,owner_Premium Motorsports,owner_Richard Childress,owner_Richard Petty Motorsports,owner_Rick Hendrick,owner_Rick Ware Racing,owner_Ricky Benton,owner_Roger Penske,owner_Spire Motorsports,owner_StarCom Racing,owner_Stewart-Haas Racing,owner_Tommy Baldwin,owner_Trackhouse Racing,owner_Wood Brothers,car_make_Chevrolet,car_make_Ford,car_make_Toyota,group_len_0.5,group_len_1.0,group_len_1.5,group_len_2.0,group_len_2.7,group_len_3.0
2383,18.0,12.5,3.0,28.0,14.0,-2.5,100.5,98.0,51.5,4.0,168.5,0.0,86.35,33.175,1.0,13.25,3.0833333333333335,26.833333333333332,13.5,-2.3333333333333335,94.66666666666667,97.0,50.75,5.833333333333333,194.58333333333334,9.416666666666666,84.42500000000001,29.14583333333333,56.95,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2384,19.0,22.0,4.5,32.0,21.0,1.5,101.0,101.0,12.0,0.0,10.5,0.0,57.400000000000006,24.5,1.0,22.333333333333332,6.083333333333333,31.833333333333332,21.666666666666668,0.9166666666666666,91.66666666666667,90.75,16.333333333333332,0.8333333333333334,48.833333333333336,0.75,58.616666666666674,20.8125,59.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
2385,20.0,24.5,8.5,33.0,25.5,-0.5,100.0,97.0,5.5,0.0,5.5,0.0,50.2,17.0,1.0,24.416666666666668,8.416666666666666,32.75,24.083333333333332,-1.0,94.25,95.25,12.166666666666666,0.5833333333333334,24.333333333333332,0.0,52.39166666666667,17.095833333333335,-13.0,35.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2386,21.0,19.0,2.0,30.5,15.5,-12.5,101.5,112.0,46.5,2.5,143.0,0.0,77.2,24.425,1.0,16.333333333333332,3.5,30.333333333333332,15.833333333333334,-11.333333333333334,100.5,111.83333333333333,42.5,3.3333333333333335,151.08333333333334,1.3333333333333333,77.05,19.083333333333336,57.7,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2387,23.0,16.0,4.0,31.0,17.5,6.0,115.5,109.5,38.5,1.0,91.0,0.0,67.15,34.85,1.0,17.166666666666668,4.0,30.583333333333332,16.916666666666668,8.0,114.66666666666667,106.66666666666667,40.0,1.0,113.75,0.9166666666666666,71.625,38.67916666666667,38.9,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2388,24.0,26.5,9.5,32.0,25.0,-4.0,83.0,91.0,8.5,0.5,11.5,0.0,52.2,20.0,1.0,26.75,9.416666666666666,33.5,25.166666666666668,-6.25,83.83333333333333,90.08333333333333,9.916666666666666,1.0833333333333333,17.833333333333332,0.0,51.93333333333334,17.904166666666665,48.45,7.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2389,25.0,4.0,3.0,32.0,16.0,11.0,130.0,119.0,42.0,1.0,134.0,0.0,78.1,47.45,1.0,4.0,3.0,32.0,16.0,11.0,130.0,119.0,42.0,1.0,134.0,0.0,78.1,47.45,32.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2390,26.0,21.5,1.0,30.5,16.5,0.5,108.5,110.0,34.5,5.0,158.0,1.0,74.8,31.5,1.0,20.0,2.9166666666666665,30.416666666666668,17.166666666666668,-1.1666666666666667,96.25,97.41666666666667,41.083333333333336,4.916666666666667,146.5,3.5,77.89999999999999,24.754166666666663,71.5,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2391,27.0,24.5,9.0,34.0,24.5,1.0,81.5,98.0,5.0,0.5,6.5,0.0,52.5,16.725,1.0,25.333333333333332,9.25,34.0,24.75,-5.166666666666667,85.25,90.41666666666667,8.166666666666666,1.8333333333333333,14.333333333333334,0.0,51.074999999999996,11.908333333333333,59.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2392,28.0,25.5,6.5,33.0,26.5,-17.0,84.5,93.0,8.5,0.0,18.5,0.0,51.55,9.625,1.0,23.916666666666668,7.25,33.416666666666664,24.333333333333332,-13.0,74.0,87.0,13.25,1.75,34.166666666666664,1.4166666666666667,53.125,9.558333333333334,-2.55,34.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
