,qual_pos,driver,qual_time,race_num,year
112,36,   Jeffrey Earnhardt,30.631   ,3,2018
113,1,"   Martin Truex, Jr.",26.288   ,4,2018
114,3,   Chase Elliott,26.446   ,4,2018
115,5,   Joey Logano,26.481   ,4,2018
116,7,   Kyle Busch,26.496   ,4,2018
117,9,   Erik Jones,26.504   ,4,2018
118,11,   William Byron,26.708   ,4,2018
119,13,   Ryan Newman,26.615   ,4,2018
120,15,   Daniel Suarez,26.652   ,4,2018
121,17,   Jimmie Johnson,26.665   ,4,2018
122,19,   Clint Bowyer,26.726   ,4,2018
123,21,   Trevor Bayne,26.818   ,4,2018
124,23,   Kurt Busch,26.913   ,4,2018
125,25,   Brad Keselowski,27.012   ,4,2018
126,27,   Bubba Wallace,27.057   ,4,2018
127,29,"   Ricky Stenhouse, Jr.",27.084   ,4,2018
128,31,   Michael McDowell,27.305   ,4,2018
129,33,   Corey LaJoie,27.612   ,4,2018
130,35,   Timmy Hill,27.931   ,4,2018
131,37,   Jeffrey Earnhardt,   ,4,2018
132,2,   Kyle Larson,26.346   ,4,2018
133,4,   Alex Bowman,26.455   ,4,2018
134,6,   Denny Hamlin,26.490   ,4,2018
135,8,   Jamie McMurray,26.497   ,4,2018
136,10,   Kevin Harvick,26.564   ,4,2018
137,12,   Ryan Blaney,26.711   ,4,2018
138,14,   Paul Menard,26.631   ,4,2018
139,16,   David Ragan,26.664   ,4,2018
140,18,   Austin Dillon,26.667   ,4,2018
141,20,   A.J. Allmendinger,26.809   ,4,2018
142,22,   Aric Almirola,26.850   ,4,2018
143,24,   Chris Buescher,26.953   ,4,2018
144,26,   Kasey Kahne,27.024   ,4,2018
145,28,   Ty Dillon,27.065   ,4,2018
146,30,   Matt DiBenedetto,27.150   ,4,2018
147,32,   Gray Gaulding,27.542   ,4,2018
148,34,   D.J. Kennington,27.757   ,4,2018
149,36,   Ross Chastain,28.004   ,4,2018
150,1,"   Martin Truex, Jr.",38.592   ,5,2018
151,3,   Kyle Larson,38.683   ,5,2018
152,5,   Austin Dillon,38.770   ,5,2018
153,7,   Kurt Busch,38.880   ,5,2018
154,9,   Ryan Newman,38.951   ,5,2018
155,11,   Brad Keselowski,39.054   ,5,2018
156,13,   Trevor Bayne,38.973   ,5,2018
157,15,   Jamie McMurray,39.106   ,5,2018
158,17,   Ty Dillon,39.198   ,5,2018
159,19,   Bubba Wallace,39.377   ,5,2018
160,21,   David Ragan,   ,5,2018
